date,day,video_no,daily_theme,title,opening_hook,demo_feature,primary_audience,cta,platforms,target_length_seconds,owner,status
2026-08-03,Monday,1,School setup in one morning,A Kenyan school can start here—not in a spreadsheet,Watch NEYO create the school structure before the first bell,"School profile, levels and modules",School Owner,Join the Term 3 pilot waitlist,TikTok | YouTube Shorts | Instagram Reels | Facebook Reels,25-50,Founder,PLANNED
2026-08-05,Wednesday,4,"Attendance, gate and safety","Late, absent, present: the register should be this fast",Demonstrate keyboard/phone attendance entry,Attendance register,Teacher,Follow for the next workflow,TikTok | YouTube Shorts | Instagram Reels | Facebook Reels,25-50,Sales & marketing colleague,PLANNED
2026-08-05,Wednesday,5,"Attendance, gate and safety",Who is at the gate right now?,"Show visitor entry, host and exit status",Visitor management,Security,Book a pilot presentation,TikTok | YouTube Shorts | Instagram Reels | Facebook Reels,25-50,Founder,PLANNED
2026-08-05,Wednesday,6,"Attendance, gate and safety",A panic button is useless if nobody knows what follows,Explain governed alerts and response roles without pretending hardware tests,Safety workflow,School Leadership,Request the safety checklist,TikTok | YouTube Shorts | Instagram Reels | Facebook Reels,25-50,Sales & marketing colleague,PLANNED
2026-08-05,Wednesday,7,"Attendance, gate and safety",No internet at the gate does not mean no record,Show supported offline gate/manual paths and honest limits,Offline gate,Security,Join the pilot,TikTok | YouTube Shorts | Instagram Reels | Facebook Reels,25-50,Founder,PLANNED
2026-08-05,Wednesday,8,"Attendance, gate and safety",The attendance report leadership actually needs,Show completion gaps instead of decorative charts,Attendance readiness,Principal,Join the waitlist,TikTok | YouTube Shorts | Instagram Reels | Facebook Reels,25-50,Sales & marketing colleague,PLANNED
2026-08-06,Thursday,1,"Fees, M-Pesa and parent trust",A fee balance should explain itself,"Open an invoice and show charges, discounts, payments and remaining balance",Fee ledger,Bursar,Join the Term 3 pilot,TikTok | YouTube Shorts | Instagram Reels | Facebook Reels,25-50,Founder,PLANNED
2026-08-06,Thursday,2,"Fees, M-Pesa and parent trust","One parent payment, two children",Demonstrate split allocation with explicit amounts,Sibling split payment,Bursar,Request a finance demo,TikTok | YouTube Shorts | Instagram Reels | Facebook Reels,25-50,Sales & marketing colleague,PLANNED
2026-08-06,Thursday,3,"Fees, M-Pesa and parent trust",Cash received by a teacher is not paid until the office confirms,Show pending teacher cash request and bursar confirmation,Cash governance,Teacher/Bursar,Join the pilot,TikTok | YouTube Shorts | Instagram Reels | Facebook Reels,25-50,Founder,PLANNED
2026-08-06,Thursday,4,"Fees, M-Pesa and parent trust",M-Pesa callback arrives twice—does the balance double?,Explain idempotent callback handling without claiming a live transaction,Payment safety,School Owner,Request the technical brief,TikTok | YouTube Shorts | Instagram Reels | Facebook Reels,25-50,Sales & marketing colleague,PLANNED
2026-08-06,Thursday,5,"Fees, M-Pesa and parent trust","Monthly, termly or yearly: the school chooses",Show billing cadence separately from learner fees,NEYO subscription cadence,School Owner,Join the waitlist,TikTok | YouTube Shorts | Instagram Reels | Facebook Reels,25-50,Founder,PLANNED
2026-08-06,Thursday,6,"Fees, M-Pesa and parent trust",A receipt people can verify,Generate a QR-verifiable receipt and show the verification boundary,Receipts,Parent/Bursar,Book a walkthrough,TikTok | YouTube Shorts | Instagram Reels | Facebook Reels,25-50,Sales & marketing colleague,PLANNED
2026-08-06,Thursday,7,"Fees, M-Pesa and parent trust",The fee reminder that should not shame a learner,Show parent-safe balance communication and controlled SMS choice,Fee communication,Bursar,Join the pilot,TikTok | YouTube Shorts | Instagram Reels | Facebook Reels,25-50,Founder,PLANNED
2026-08-06,Thursday,8,"Fees, M-Pesa and parent trust",Why NEYO separates onboarding fees from subscription billing,"Explain setup quote, approval, payment and activation",Onboarding fee,School Owner,Request a pilot quote,TikTok | YouTube Shorts | Instagram Reels | Facebook Reels,25-50,Sales & marketing colleague,PLANNED
2026-08-07,Friday,1,Teacher daily work,A teacher opens NEYO and lands on the lesson happening now,Show Nairobi-time mobile timetable focus,Teacher mobile timetable,Teacher,Join the Term 3 pilot,TikTok | YouTube Shorts | Instagram Reels | Facebook Reels,25-50,Founder,PLANNED
2026-08-07,Friday,2,Teacher daily work,Homework in under one minute,Assign to the teacher's actual class and subject,Homework,Teacher,Follow the August demo series,TikTok | YouTube Shorts | Instagram Reels | Facebook Reels,25-50,Sales & marketing colleague,PLANNED
2026-08-07,Friday,3,Teacher daily work,Stop sending revision notes into disappearing chat history,Upload class notes with scoped access,Class notes,Teacher,Join the waitlist,TikTok | YouTube Shorts | Instagram Reels | Facebook Reels,25-50,Founder,PLANNED
2026-08-07,Friday,4,Teacher daily work,The record of work should follow the timetable,"Demonstrate class, subject, topic and completion",Record of work,Teacher,Request a teacher demo,TikTok | YouTube Shorts | Instagram Reels | Facebook Reels,25-50,Sales & marketing colleague,PLANNED
2026-08-07,Friday,5,Teacher daily work,A leave request should show every lesson at risk,Show substitute proposals and human confirmation,Teacher substitution,Deputy Principal,Join the pilot,TikTok | YouTube Shorts | Instagram Reels | Facebook Reels,25-50,Founder,PLANNED
2026-08-07,Friday,6,Teacher daily work,A teacher collects cash: here is the safe workflow,Submit a pending entry without changing the ledger,Teacher cash entry,Teacher,Save this for staff training,TikTok | YouTube Shorts | Instagram Reels | Facebook Reels,25-50,Sales & marketing colleague,PLANNED
2026-08-07,Friday,7,Teacher daily work,The class report without rebuilding it in Excel,Show attendance and result summary for an assigned class,Teacher class report,Class Teacher,Join the waitlist,TikTok | YouTube Shorts | Instagram Reels | Facebook Reels,25-50,Founder,PLANNED
2026-08-07,Friday,8,Teacher daily work,What teachers can still do offline—and what they cannot,Tour the offline support matrix honestly,Offline teacher work,Teacher,Request the offline guide,TikTok | YouTube Shorts | Instagram Reels | Facebook Reels,25-50,Sales & marketing colleague,PLANNED
2026-08-10,Monday,1,Smart timetable fundamentals,A timetable generator must never change learner choices,Explain NEYO's deterministic timetable constitution,Timetable governance,Principal,Join the pilot,TikTok | YouTube Shorts | Instagram Reels | Facebook Reels,25-50,Founder,PLANNED
2026-08-10,Monday,2,Smart timetable fundamentals,"Same inputs, same engine version, same answer",Demonstrate deterministic generation and saved evidence,Deterministic solver,Director of Studies,Request a timetable demo,TikTok | YouTube Shorts | Instagram Reels | Facebook Reels,25-50,Sales & marketing colleague,PLANNED
2026-08-10,Monday,3,Smart timetable fundamentals,A double lesson cannot swallow break time,Recreate the screenshot issue and show locked break boundaries,Break-safe doubles,Timetable Committee,Join the waitlist,TikTok | YouTube Shorts | Instagram Reels | Facebook Reels,25-50,Founder,PLANNED
2026-08-10,Monday,4,Smart timetable fundamentals,"Two halves of a double, two teachers? NEYO blocks it",Show the manual conflict message,Manual doubles,Director of Studies,Save for your timetable team,TikTok | YouTube Shorts | Instagram Reels | Facebook Reels,25-50,Sales & marketing colleague,PLANNED
2026-08-10,Monday,5,Smart timetable fundamentals,Teacher clash detected before publication,Attempt a same-time assignment across classes,Teacher conflicts,Timetable Committee,Book a pilot walkthrough,TikTok | YouTube Shorts | Instagram Reels | Facebook Reels,25-50,Founder,PLANNED
2026-08-10,Monday,6,Smart timetable fundamentals,One Chemistry lab cannot host two classes,Show venue reservation and learner capacity,Venue conflicts,HOD Science,Join the pilot,TikTok | YouTube Shorts | Instagram Reels | Facebook Reels,25-50,Sales & marketing colleague,PLANNED
2026-08-10,Monday,7,Smart timetable fundamentals,Unplaced lessons must stay visible,Show incomplete output rather than hiding failure,Timetable transparency,Principal,Request the readiness checklist,TikTok | YouTube Shorts | Instagram Reels | Facebook Reels,25-50,Founder,PLANNED
2026-08-10,Monday,8,Smart timetable fundamentals,Generation is not approval,"Walk through draft, committee review, Head approval and publication",Timetable governance,Principal,Join the waitlist,TikTok | YouTube Shorts | Instagram Reels | Facebook Reels,25-50,Sales & marketing colleague,PLANNED
2026-08-11,Tuesday,1,Senior School choices and pathways,Why every learner cannot be pushed into Pure Sciences,Run different Pathway Guide answers and compare tracks,Pathway Guide,Grade 9 Learner,Try the public guide,TikTok | YouTube Shorts | Instagram Reels | Facebook Reels,25-50,Founder,PLANNED
2026-08-11,Tuesday,2,Senior School choices and pathways,A pathway is not a timetable block,"Explain pathway, combination and Option A/B/C",Senior School concepts,Parent,Join the pilot waitlist,TikTok | YouTube Shorts | Instagram Reels | Facebook Reels,25-50,Sales & marketing colleague,PLANNED
2026-08-11,Tuesday,3,Senior School choices and pathways,Three subjects that can actually fit together,Show the deterministic subject conflict graph,Option A/B/C,Director of Studies,Request a Senior School demo,TikTok | YouTube Shorts | Instagram Reels | Facebook Reels,25-50,Founder,PLANNED
2026-08-11,Tuesday,4,Senior School choices and pathways,Core Mathematics or Essential Mathematics?,Show pathway-sensitive Mathematics split,Senior Mathematics,Teacher,Save this Grade 10 explanation,TikTok | YouTube Shorts | Instagram Reels | Facebook Reels,25-50,Sales & marketing colleague,PLANNED
2026-08-11,Tuesday,5,Senior School choices and pathways,NEYO guidance is not Ministry placement,Show the official-selection link and clear boundary,Selection reconciliation,Parent,Check official selections,TikTok | YouTube Shorts | Instagram Reels | Facebook Reels,25-50,Founder,PLANNED
2026-08-11,Tuesday,6,Senior School choices and pathways,A learner's choices changed—what becomes stale?,Show readiness invalidation and required review,Choice governance,Career Teacher,Join the pilot,TikTok | YouTube Shorts | Instagram Reels | Facebook Reels,25-50,Sales & marketing colleague,PLANNED
2026-08-11,Tuesday,7,Senior School choices and pathways,Can the school genuinely offer this combination?,"Check teacher, venue and capacity readiness",Offering feasibility,Principal,Request the pilot proposal,TikTok | YouTube Shorts | Instagram Reels | Facebook Reels,25-50,Founder,PLANNED
2026-08-11,Tuesday,8,Senior School choices and pathways,Every Grade 10 learner gets a personal timetable proof,Open one learner's resolved A/B/C timetable,Learner proof,Parent,Join the waitlist,TikTok | YouTube Shorts | Instagram Reels | Facebook Reels,25-50,Sales & marketing colleague,PLANNED
2026-08-12,Wednesday,1,Assessments and competencies,No more pasting Class IDs into an assessment form,Show teacher-scoped class/subject and auto learning-area fill,Assessment plans,Teacher,Join the Term 3 pilot,TikTok | YouTube Shorts | Instagram Reels | Facebook Reels,25-50,Founder,PLANNED
2026-08-12,Wednesday,2,Assessments and competencies,"CAT, project, oral presentation—the school names the work",Create custom assessment types and titles,Flexible assessments,Teacher,Request an assessment demo,TikTok | YouTube Shorts | Instagram Reels | Facebook Reels,25-50,Sales & marketing colleague,PLANNED
2026-08-12,Wednesday,3,Assessments and competencies,Competency evidence is not another marks column,"Record evidence, level and narrative with context",Competencies,Teacher,Save this CBE explanation,TikTok | YouTube Shorts | Instagram Reels | Facebook Reels,25-50,Founder,PLANNED
2026-08-12,Wednesday,4,Assessments and competencies,Choose the learner; never paste a database ID,Show scoped competency learner picker,Learner summary,Teacher,Join the pilot,TikTok | YouTube Shorts | Instagram Reels | Facebook Reels,25-50,Sales & marketing colleague,PLANNED
2026-08-12,Wednesday,5,Assessments and competencies,Moderation before release,"Show scored, moderated and released states",Assessment governance,HOD,Request the CBE guide,TikTok | YouTube Shorts | Instagram Reels | Facebook Reels,25-50,Founder,PLANNED
2026-08-12,Wednesday,6,Assessments and competencies,A photo is evidence only when it has context,Attach evidence with note and learner scope,CBE evidence,Teacher,Join the waitlist,TikTok | YouTube Shorts | Instagram Reels | Facebook Reels,25-50,Sales & marketing colleague,PLANNED
2026-08-12,Wednesday,7,Assessments and competencies,The CBE leadership readiness screen,"Show attendance, coverage, observations and report readiness",CBE leadership,Principal,Book a walkthrough,TikTok | YouTube Shorts | Instagram Reels | Facebook Reels,25-50,Founder,PLANNED
2026-08-12,Wednesday,8,Assessments and competencies,Parents should see approved evidence—not teacher drafts,Demonstrate visibility and approval boundary,Parent CBE report,Parent,Join the pilot,TikTok | YouTube Shorts | Instagram Reels | Facebook Reels,25-50,Sales & marketing colleague,PLANNED
2026-08-13,Thursday,1,Exams and marks,Enter marks without touching the mouse,Demonstrate Enter/down/up keyboard movement,Marks grid,Teacher,Join the pilot,TikTok | YouTube Shorts | Instagram Reels | Facebook Reels,25-50,Founder,PLANNED
2026-08-13,Thursday,2,Exams and marks,"Paper 1 out of 80, Paper 2 out of 40—still one subject",Configure paper maximums and contributions,Paper grading,HOD,Request an exams demo,TikTok | YouTube Shorts | Instagram Reels | Facebook Reels,25-50,Sales & marketing colleague,PLANNED
2026-08-13,Thursday,3,Exams and marks,The exam the school did not conduct is not zero,Show available-work renormalisation with the 60/75 example,Consolidated calculation,Director of Studies,Save this computation rule,TikTok | YouTube Shorts | Instagram Reels | Facebook Reels,25-50,Founder,PLANNED
2026-08-13,Thursday,4,Exams and marks,"CAT 30%, End Term 70%: what the weight really means",Show normalized mark multiplied by contribution,Weighted reports,Teacher,Join the waitlist,TikTok | YouTube Shorts | Instagram Reels | Facebook Reels,25-50,Sales & marketing colleague,PLANNED
2026-08-13,Thursday,5,Exams and marks,"Raw marks close, review, compute, release",Walk through the governed marks portal lifecycle,Result release,Principal,Book a pilot presentation,TikTok | YouTube Shorts | Instagram Reels | Facebook Reels,25-50,Founder,PLANNED
2026-08-13,Thursday,6,Exams and marks,"One learner report, every available assessment",Open dynamic columns and subject drill-down,Consolidated report,Parent,Join the pilot,TikTok | YouTube Shorts | Instagram Reels | Facebook Reels,25-50,Sales & marketing colleague,PLANNED
2026-08-13,Thursday,7,Exams and marks,Why two learners with the same grade need different comments,Show stable comment variants and teacher lock,Report comments,Teacher,Request a report demo,TikTok | YouTube Shorts | Instagram Reels | Facebook Reels,25-50,Founder,PLANNED
2026-08-13,Thursday,8,Exams and marks,"Kiswahili subject, Kiswahili comment",Demonstrate language-aware deterministic comments,Kiswahili reporting,Kiswahili Teacher,Join the waitlist,TikTok | YouTube Shorts | Instagram Reels | Facebook Reels,25-50,Sales & marketing colleague,PLANNED
2026-08-14,Friday,1,Consolidated learner reports,The report card should explain the calculation,"Open raw mark, effective weight and contribution",Report transparency,Parent,Join the pilot,TikTok | YouTube Shorts | Instagram Reels | Facebook Reels,25-50,Founder,PLANNED
2026-08-14,Friday,2,Consolidated learner reports,DEV means this—not punishment,Explain learner mark minus class mean,Deviation,Teacher,Save this explanation,TikTok | YouTube Shorts | Instagram Reels | Facebook Reels,25-50,Sales & marketing colleague,PLANNED
2026-08-14,Friday,3,Consolidated learner reports,"Rankings can be shown, hidden or replaced with bands",Switch the school's report policy,Ranking policy,Principal,Request a demo,TikTok | YouTube Shorts | Instagram Reels | Facebook Reels,25-50,Founder,PLANNED
2026-08-14,Friday,4,Consolidated learner reports,Fees on report cards are a school decision,Toggle optional fee visibility,Report fee policy,Bursar,Join the waitlist,TikTok | YouTube Shorts | Instagram Reels | Facebook Reels,25-50,Sales & marketing colleague,PLANNED
2026-08-14,Friday,5,Consolidated learner reports,Class Teacher and Principal remarks are human-written,Show draft and lock states,Remarks governance,Principal,Join the pilot,TikTok | YouTube Shorts | Instagram Reels | Facebook Reels,25-50,Founder,PLANNED
2026-08-14,Friday,6,Consolidated learner reports,A report changes after correction—keep the old evidence,Show version and calculation hash concept,Publication snapshot,School Owner,Request the technical guide,TikTok | YouTube Shorts | Instagram Reels | Facebook Reels,25-50,Sales & marketing colleague,PLANNED
2026-08-14,Friday,7,Consolidated learner reports,Learner versus class at a glance,Show comparison bars and deviation,Comparison chart,Parent,Join the waitlist,TikTok | YouTube Shorts | Instagram Reels | Facebook Reels,25-50,Founder,PLANNED
2026-08-14,Friday,8,Consolidated learner reports,"One-page A4, colour or black and white",Download both print modes,Report PDF,Administrator,Book a pilot walkthrough,TikTok | YouTube Shorts | Instagram Reels | Facebook Reels,25-50,Sales & marketing colleague,PLANNED
2026-08-17,Monday,1,Exam timetable and practicals,Chemistry practical needs more than a time slot,"Add lab, capacity, preparation and cleanup",Practical resources,HOD Science,Join the pilot,TikTok | YouTube Shorts | Instagram Reels | Facebook Reels,25-50,Founder,PLANNED
2026-08-17,Monday,2,Exam timetable and practicals,"120 candidates, 30 per session",Build deterministic candidate ranges,Multi-session exams,Exam Officer,Request an exam demo,TikTok | YouTube Shorts | Instagram Reels | Facebook Reels,25-50,Sales & marketing colleague,PLANNED
2026-08-17,Monday,3,Exam timetable and practicals,The practical cannot finish by 4pm—NEYO refuses it,Show infeasible session-window warning,Exam feasibility,Exam Officer,Join the waitlist,TikTok | YouTube Shorts | Instagram Reels | Facebook Reels,25-50,Founder,PLANNED
2026-08-17,Monday,4,Exam timetable and practicals,"One lab, two exams, same time",Show resource reservation conflict,Exam resources,Director of Studies,Save for exam planning,TikTok | YouTube Shorts | Instagram Reels | Facebook Reels,25-50,Sales & marketing colleague,PLANNED
2026-08-17,Monday,5,Exam timetable and practicals,One paper can require three invigilators,Configure required count and unresolved warning,Invigilation,Exam Officer,Join the pilot,TikTok | YouTube Shorts | Instagram Reels | Facebook Reels,25-50,Founder,PLANNED
2026-08-17,Monday,6,Exam timetable and practicals,Can the subject teacher invigilate? The school decides,"Compare allow, prefer, avoid and prohibit",Invigilation policy,Principal,Request the policy guide,TikTok | YouTube Shorts | Instagram Reels | Facebook Reels,25-50,Sales & marketing colleague,PLANNED
2026-08-17,Monday,7,Exam timetable and practicals,Elective learners should sit only their chosen paper,Show per-student elective exam roster,Elective exams,Senior School,Join the waitlist,TikTok | YouTube Shorts | Instagram Reels | Facebook Reels,25-50,Founder,PLANNED
2026-08-17,Monday,8,Exam timetable and practicals,An exam timetable is a draft until approved,Explain generation versus school approval,Exam governance,Principal,Book a walkthrough,TikTok | YouTube Shorts | Instagram Reels | Facebook Reels,25-50,Sales & marketing colleague,PLANNED
2026-08-18,Tuesday,1,Library and accountable resources,Why the barcode was blank—and the fix,Generate a real local PNG Code 39 label,Library barcodes,Librarian,Join the pilot,TikTok | YouTube Shorts | Instagram Reels | Facebook Reels,25-50,Founder,PLANNED
2026-08-18,Tuesday,2,Library and accountable resources,Every physical copy needs its own identity,Show copy-level QR/barcode labels,Library copies,Librarian,Request a library demo,TikTok | YouTube Shorts | Instagram Reels | Facebook Reels,25-50,Sales & marketing colleague,PLANNED
2026-08-18,Tuesday,3,Library and accountable resources,"Issue a book by scanning, not searching five screens",Demonstrate scan-or-type flow,Book issue,Librarian,Join the waitlist,TikTok | YouTube Shorts | Instagram Reels | Facebook Reels,25-50,Founder,PLANNED
2026-08-18,Tuesday,4,Library and accountable resources,A transfer should reveal unreturned books,Show library clearance dependency,Transfer clearance,Registrar,Save this workflow,TikTok | YouTube Shorts | Instagram Reels | Facebook Reels,25-50,Sales & marketing colleague,PLANNED
2026-08-18,Tuesday,5,Library and accountable resources,Overdue does not automatically mean paid fine,"Show return, fine and confirmation states",Library fines,Librarian,Join the pilot,TikTok | YouTube Shorts | Instagram Reels | Facebook Reels,25-50,Founder,PLANNED
2026-08-18,Tuesday,6,Library and accountable resources,32 compact labels on one A4 sheet,Show paper-saving combined label mode,Label printing,Librarian,Request the print guide,TikTok | YouTube Shorts | Instagram Reels | Facebook Reels,25-50,Sales & marketing colleague,PLANNED
2026-08-18,Tuesday,7,Library and accountable resources,Phone camera or USB scanner? Both paths,"Explain BarcodeDetector, QR and keyboard wedge",Scanning hardware,ICT Teacher,Join the waitlist,TikTok | YouTube Shorts | Instagram Reels | Facebook Reels,25-50,Founder,PLANNED
2026-08-18,Tuesday,8,Library and accountable resources,No paid barcode API,Explain local generation and offline-safe labels,Cost control,School Owner,Book a pilot demo,TikTok | YouTube Shorts | Instagram Reels | Facebook Reels,25-50,Sales & marketing colleague,PLANNED
2026-08-19,Wednesday,1,Communication without hidden cost,An in-app message does not cost an SMS,Compare app delivery with optional paid fallback,Messaging costs,School Owner,Join the pilot,TikTok | YouTube Shorts | Instagram Reels | Facebook Reels,25-50,Founder,PLANNED
2026-08-19,Wednesday,2,Communication without hidden cost,"Urgent message, explicit acknowledgement",Show I received this and delivery state,Acknowledgements,Principal,Request a communication demo,TikTok | YouTube Shorts | Instagram Reels | Facebook Reels,25-50,Sales & marketing colleague,PLANNED
2026-08-19,Wednesday,3,Communication without hidden cost,Class chat membership should follow the class,Show automatic participant scope,Class chat,Class Teacher,Join the waitlist,TikTok | YouTube Shorts | Instagram Reels | Facebook Reels,25-50,Founder,PLANNED
2026-08-19,Wednesday,4,Communication without hidden cost,Why attachments—not text—consume most storage,Compare message rows with uploaded media,Storage literacy,ICT Admin,Save this cost tip,TikTok | YouTube Shorts | Instagram Reels | Facebook Reels,25-50,Sales & marketing colleague,PLANNED
2026-08-19,Wednesday,5,Communication without hidden cost,A voice room that does not store recordings,Explain expiring WebRTC room metadata honestly,Voice rooms,Teacher,Join the pilot,TikTok | YouTube Shorts | Instagram Reels | Facebook Reels,25-50,Founder,PLANNED
2026-08-19,Wednesday,6,Communication without hidden cost,SMS fallback is a choice with a real cost,Show fallback timing and ledger boundary,SMS controls,School Owner,Request pricing details,TikTok | YouTube Shorts | Instagram Reels | Facebook Reels,25-50,Sales & marketing colleague,PLANNED
2026-08-19,Wednesday,7,Communication without hidden cost,Old temporary files can be cleaned; official records cannot,Show storage lifecycle tiers,Storage intelligence,Administrator,Join the waitlist,TikTok | YouTube Shorts | Instagram Reels | Facebook Reels,25-50,Founder,PLANNED
2026-08-19,Wednesday,8,Communication without hidden cost,Your school can link external overflow storage,Explain manual link versus true OAuth upload,External storage,School Owner,Book a walkthrough,TikTok | YouTube Shorts | Instagram Reels | Facebook Reels,25-50,Sales & marketing colleague,PLANNED
2026-08-20,Thursday,1,School operations beyond academics,Hostel beds are not just a number,"Show dorm, bed and learner allocation",Hostel,Boarding Master,Join the pilot,TikTok | YouTube Shorts | Instagram Reels | Facebook Reels,25-50,Founder,PLANNED
2026-08-20,Thursday,2,School operations beyond academics,Transport capacity before assigning the learner,"Show route, shift, stop and seat checks",Transport,Transport Manager,Request an operations demo,TikTok | YouTube Shorts | Instagram Reels | Facebook Reels,25-50,Sales & marketing colleague,PLANNED
2026-08-20,Thursday,3,School operations beyond academics,A route-change request can affect billing,Show parent request and school decision,Transport requests,Parent,Join the waitlist,TikTok | YouTube Shorts | Instagram Reels | Facebook Reels,25-50,Founder,PLANNED
2026-08-20,Thursday,4,School operations beyond academics,"Cafeteria menu, enrolment and meal records",Demonstrate the meal workflow,Cafeteria,Catering Manager,Book a pilot demo,TikTok | YouTube Shorts | Instagram Reels | Facebook Reels,25-50,Sales & marketing colleague,PLANNED
2026-08-20,Thursday,5,School operations beyond academics,Clinic records need tighter permissions,Show role-scoped medical access,Clinic,School Nurse,Join the pilot,TikTok | YouTube Shorts | Instagram Reels | Facebook Reels,25-50,Founder,PLANNED
2026-08-20,Thursday,6,School operations beyond academics,Uniform stock and learner orders,"Show catalogue, stock and fulfilment",Uniforms,Storekeeper,Request a walkthrough,TikTok | YouTube Shorts | Instagram Reels | Facebook Reels,25-50,Sales & marketing colleague,PLANNED
